date,time,currency,impact,index_name,actual, actual_stu,forecast,previous
 MonJan 1 ,All Day,NZD,holiday,Bank Holiday,,0,,
 ,All Day,AUD,holiday,Bank Holiday,,0,,
 ,All Day,CNY,holiday,Bank Holiday,,0,,
 ,All Day,JPY,holiday,Bank Holiday,,0,,
 ,10:00am,CNY,high,Manufacturing PMI,54.8,0,,55.3
 ,All Day,CHF,holiday,Bank Holiday,,0,,
 ,All Day,EUR,holiday,German Bank Holiday,,0,,
 ,All Day,EUR,holiday,French Bank Holiday,,0,,
 ,All Day,EUR,holiday,Italian Bank Holiday,,0,,
 ,All Day,GBP,holiday,Bank Holiday,,0,,
 ,All Day,CAD,holiday,Bank Holiday,,0,,
 ,All Day,USD,holiday,Bank Holiday,,0,,
 TueJan 2 ,All Day,NZD,holiday,Bank Holiday,,0,,
 ,7:30am,AUD,low,AIG Manufacturing Index,52.4,0,,54.4
 ,9:00am,CNY,holiday,Bank Holiday,,0,,
 ,All Day,JPY,holiday,Bank Holiday,,0,,
 ,11:30am,CNY,medium,Caixin Manufacturing PMI,52.4,0,,53.0
 ,2:30pm,AUD,medium,Commodity Prices y/y,11.0%,0,,13.9%
 ,All Day,CHF,holiday,Bank Holiday,,0,,
 ,5:15pm,EUR,low,Spanish Manufacturing PMI,57.2,0,,56.1
 ,5:45pm,EUR,low,Italian Manufacturing PMI,55.0,-1,55.5,54.8
 ,6:00pm,EUR,medium,Final Manufacturing PMI,56.5,0,56.5,56.6
 ,6:30pm,GBP,medium,Manufacturing PMI,51.9,-1,53.0,52.5
 WedJan 3 ,All Day,JPY,holiday,Bank Holiday,,0,,
 ,5:00pm,EUR,low,Spanish Unemployment Change,-0.3K,0,,30.3K
 ,5:30pm,CHF,medium,Manufacturing PMI,65.0,-1,66.0,67.0
 ,5:55pm,EUR,medium,German Unemployment Change,-96K,-1,-110K,-90K
 ,6:30pm,GBP,low,Construction PMI,57.5,1,54.5,54.8
 ,7:09pm,EUR,low,German 10-y Bond Auction,3.94|1.8,0,,3.72|1.6
 ,10:15pm,USD,medium,ADP Non-Farm Employment Change,-40K,-1,120K,230K
 ThuJan 4 ,12:00am,USD,high,ISM Manufacturing PMI,51.4,1,51.0,49.5
 ,,USD,low,Construction Spending m/m,-0.2%,1,-0.6%,-1.0%
 ,,USD,low,ISM Manufacturing Prices,47.5,-1,54.0,53.5
 ,All Day,USD,low,Total Vehicle Sales,16.7M,1,16.5M,16.1M
 ,4:00am,USD,high,FOMC Meeting Minutes,,0,,
 ,6:45am,NZD,high,Trade Balance,-785M,1,-976M,-1174M
 ,7:30am,AUD,low,AIG Services Index,49.5,0,,48.5
 ,3:45pm,CHF,high,CPI m/m,0.0%,-1,0.1%,0.0%
 ,5:15pm,EUR,low,Spanish Services PMI,58.1,0,,60.4
 ,5:45pm,EUR,low,Italian Services PMI,55.0,-1,56.2,56.2
 ,6:00pm,EUR,low,Final Services PMI,57.2,0,57.5,57.6
 ,6:30pm,GBP,medium,Services PMI,60.6,1,60.0,59.8
 ,,GBP,low,Mortgage Approvals,129K,1,120K,128K
 ,,GBP,low,Net Lending to Individuals m/m,10.9B,0,11.0B,10.8B
 ,6:55pm,EUR,low,French 10-y Bond Auction,3.97|2.4,0,,3.74|2.4
 ,7:00pm,EUR,low,CPI Flash Estimate y/y,1.9%,0,1.9%,1.9%
 ,,EUR,low,Italian Prelim CPI m/m,0.1%,0,0.1%,0.2%
 ,7:30pm,GBP,medium,GfK Consumer Confidence,-8,-1,-6,-7
 ,9:30pm,GBP,low,MPC Member Blanchflower Speaks,,0,,
 ,,USD,low,Challenger Job Cuts y/y,-49.3%,0,,-22.7%
 ,10:30pm,CAD,medium,RMPI m/m,0.9%,0,1.0%,-2.8%
 ,,CAD,low,IPPI m/m,0.0%,-1,0.5%,-0.1%
 ,,USD,low,Unemployment Claims,329K,-1,318K,317K
 FriJan 5 ,12:00am,USD,high,ISM Non-Manufacturing PMI,57.1,-1,58.0,58.9
 ,,USD,high,Pending Home Sales m/m,-0.5%,-1,0.0%,-1.5%
 ,,USD,medium,Factory Orders m/m,0.9%,-1,1.5%,-4.5%
 ,12:30am,USD,low,Crude Oil Inventories,-1.3M,0,-2.0M,-8.1M
 ,8:50am,JPY,low,Monetary Base y/y,-20.0%,1,-23.5%,-22.3%
 ,5:00pm,CHF,low,Foreign Currency Reserves,46B,0,,46B
 ,,GBP,high,Halifax HPI m/m,-1.0%,-1,1.0%,1.6%
 ,6:00pm,EUR,low,Retail PMI,52.1,0,,53.7
 ,7:00pm,EUR,low,Consumer Confidence,-6,1,-7,-7
 ,,EUR,low,PPI m/m,0.0%,-1,0.1%,0.0%
 ,,EUR,low,Retail Sales m/m,0.5%,0,0.5%,0.3%
 ,,EUR,low,Unemployment Rate,7.6%,0,7.6%,7.7%
 ,9:00pm,CAD,high,Employment Change,62.0K,1,17.0K,22.0K
 ,,CAD,high,Unemployment Rate,6.1%,1,6.3%,6.3%
 ,10:30pm,USD,high,Non-Farm Employment Change,167K,1,115K,132K
 ,,USD,high,Unemployment Rate,4.5%,0,4.5%,4.5%
 ,,USD,medium,Average Hourly Earnings m/m,0.5%,1,0.3%,0.3%
 SatJan 6 ,12:00am,CAD,high,Ivey PMI,49.4,-1,50.5,52.8
 ,12:30am,USD,low,Natural Gas Storage,-47B,0,-60B,-46B
 ,3:45am,USD,medium,Fed Chairman Bernanke Speaks,,0,,
 MonJan 8 ,7:30am,AUD,low,AIG Construction Index,52.1,0,,47.6
 ,All Day,JPY,holiday,Bank Holiday,,0,,
 ,9:30am,AUD,high,Building Approvals m/m,4.1%,1,2.0%,-6.8%
 ,,AUD,medium,ANZ Job Advertisements m/m,12.1%,0,,-3.8%
 ,3:45pm,CHF,low,Unemployment Rate,3.1%,0,3.1%,3.1%
 ,4:00pm,EUR,medium,German Retail Sales m/m,-0.3%,-1,0.6%,-0.5%
 ,8:00pm,EUR,medium,German Factory Orders m/m,1.5%,0,1.5%,-0.7%
 TueJan 9 ,12:30am,CAD,high,BOC Business Outlook Survey,,0,,
 ,2:45am,USD,medium,FOMC Member Kohn Speaks,,0,,
 ,5:00am,USD,low,Consumer Credit m/m,12.3B,1,5.4B,-1.3B
 ,9:01am,GBP,medium,BRC Retail Sales Monitor y/y,2.5%,0,,0.5%
 ,9:30am,AUD,high,Retail Sales m/m,0.2%,-1,0.3%,0.8%
 ,4:00pm,EUR,low,German Trade Balance,19.3B,1,15.3B,17.2B
 ,8:00pm,EUR,medium,German Industrial Production m/m,1.8%,1,1.0%,-0.8%
 ,9:30pm,USD,low,NFIB Small Business Index,96.5,0,,99.7
 ,10:15pm,CAD,high,Housing Starts,212K,-1,230K,229K
 WedJan 10 ,12:00am,USD,low,IBD/TIPP Economic Optimism,53.7,0,53.7,53.5
 ,8:30am,AUD,low,Westpac Consumer Sentiment,7.3%,0,,11.8%
 ,9:01am,GBP,low,Nationwide Consumer Confidence,83,-1,89,89
 ,9:30am,AUD,medium,Trade Balance,-0.84B,-1,-0.73B,-1.51
 ,12:45pm,JPY,low,10-y Bond Auction,1.73|2.5,0,,1.64|2.3
 ,4:00pm,EUR,low,German WPI m/m,0.0%,-1,0.2%,0.1%
 ,4:45pm,EUR,medium,French Industrial Production m/m,-0.2%,-1,0.7%,0.0%
 ,,EUR,low,French Gov Budget Balance,-54.9B,0,,-48.2B
 ,,EUR,low,French Trade Balance,-2.8B,-1,-2.3B,-2.8B
 ,6:30pm,GBP,medium,Goods Trade Balance,-7.2B,-1,-6.45B,-6.33B
 ,7:30pm,GBP,low,BRC Shop Price Index y/y,2.3%,0,,1.8%
 ,10:30pm,CAD,medium,Building Permits m/m,3.0%,1,2.0%,7.8%
 ,,CAD,medium,Trade Balance,4.7B,1,3.7B,3.8B
 ,,CAD,low,NHPI m/m,0.5%,1,0.3%,0.2%
 ,,USD,high,Trade Balance,-58.2B,1,-60.0B,-58.9B
 ThuJan 11 ,12:00am,USD,low,Final Wholesale Inventories m/m,1.3%,-1,0.4%,0.4%
 ,,USD,low,JOLTS Job Openings,4.24M,0,,4.25M
 ,12:30am,USD,low,Crude Oil Inventories,-5.0M,0,-1.5M,-1.3M
 ,6:30am,AUD,low,MI Inflation Expectations,3.5%,0,,3.5%
 ,9:30am,AUD,high,Employment Change,44.6K,1,12.0K,43.0K
 ,,AUD,medium,Unemployment Rate,4.6%,1,4.8%,4.6%
 ,10:35am,CNY,high,USD-Denominated Trade Balance,21.0B,0,21.6B,22.9B
 ,2:00pm,JPY,low,Leading Indicators,20.0%,0,20.0%,54.5%
 ,3:00pm,JPY,low,Prelim Machine Tool Orders y/y,-2.4%,0,,4.9%
 ,6:30pm,GBP,high,Manufacturing Production m/m,0.3%,1,0.2%,-0.3%
 ,,GBP,low,Industrial Production m/m,0.5%,1,0.2%,-0.6%
