일자,,종목,시가,고가,저가,종가,등락,,등락률,거래량,미결제,증감,거래대금,코스피200,등락,,K200업종코드,Basis
2018/12/27,,101P3,261.45,262.35,260.40,261.50,▲,4.20,1.63,"160,890","287,143",435,"10,522,408",,,,2101,261.50
2018/12/26,,101P3,257.90,259.50,256.15,257.30,▼,4.25,-1.62,"247,208","286,708","6,125","15,933,806",260.98,▼,3.47,2101,-3.68
2018/12/24,,101P3,261.00,261.60,259.80,261.55,▼,0.10,-0.04,"129,083","280,583","-1,508","8,422,109",264.45,▼,0.61,2101,-2.90
2018/12/21,,101P3,261.30,262.00,260.35,261.65,▲,0.20,0.08,"138,490","282,091","-1,202","9,048,134",265.06,▲,0.25,2101,-3.41
2018/12/20,,101P3,262.75,263.30,260.20,261.45,▼,3.00,-1.13,"264,081","283,293",-924,"17,280,001",264.81,▼,2.50,2101,-3.36
2018/12/19,,101P3,263.40,264.70,262.65,264.45,▲,1.90,0.72,"162,682","284,217","3,419","10,734,519",267.31,▲,2.13,2101,-2.86
2018/12/18,,101P3,261.50,264.00,261.50,262.55,▼,1.10,-0.42,"207,931","280,798","-1,374","13,658,186",265.18,▼,1.15,2101,-2.63
2018/12/17,,101P3,263.20,264.50,263.05,263.65,▲,0.95,0.36,"145,836","282,172",-877,"9,622,819",266.33,▲,0.78,2101,-2.68
2018/12/14,,101P3,266.95,267.20,261.35,262.70,▼,5.10,-1.90,"244,613","283,049","283,049","16,096,443",265.55,▼,3.86,2101,-2.85
2018/12/13,,101NC,269.45,271.10,268.30,270.05,▲,1.25,0.47,"212,052",0,"-170,042","14,297,964",269.41,▲,0.94,2101,0.64
2018/12/12,,101NC,266.25,269.10,265.75,268.80,▲,3.65,1.38,"232,573","170,042","-50,972","15,568,447",268.47,▲,3.78,2101,0.33
2018/12/11,,101NC,266.50,266.50,264.30,265.15,▼,0.25,-0.09,"229,941","221,014","-55,065","15,246,326",264.69,▼,0.66,2101,0.46
2018/12/10,,101NC,264.75,266.55,264.00,265.40,▼,3.10,-1.15,"277,678","276,079","-44,270","18,407,685",265.35,▼,2.93,2101,0.05
2018/12/07,,101NC,268.70,269.75,267.35,268.50,▲,1.10,0.41,"225,591","320,349","-6,490","15,161,821",268.28,▲,1.10,2101,0.22
2018/12/06,,101NC,270.00,270.40,267.05,267.40,▼,4.50,-1.66,"261,118","326,839","2,626","17,534,482",267.18,▼,4.31,2101,0.22
