date,fa_num_rate,fa_Votes_rate,time_Allday,time_Event,time_month,time_Quarter,USD,EUR,GBP,JPY,AUD,CAD,NZD,CNY,CHF,All
2007-01-01,0.0,0.0,11.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
2007-01-02,-0.09202787693353742,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0
2007-01-03,-4.829802613288852,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2007-01-04,-11.073208256227465,0.0,1.0,0.0,0.0,0.0,7.0,6.0,5.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0
2007-01-05,0.8140270960532621,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
2007-01-06,-0.1960396039603963,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-01-08,3.449999999999995,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
2007-01-09,-0.5043478260869559,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2007-01-10,-2.9408664805001585,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0
2007-01-11,28.88229166666667,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0
2007-01-12,19.281927710843377,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-01-13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-15,-8.09277587754409,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0
2007-01-16,-5.131759022449559,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
2007-01-17,29.361011904761906,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
2007-01-18,-3.327249803607991,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,5.0,1.0,2.0,0.0,0.0,2.0,0.0
2007-01-19,-10.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0
2007-01-20,0.5351351351351352,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-22,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
2007-01-23,-1.427777777777775,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2007-01-24,-14.140262515262513,-3.3749999999999996,0.0,1.0,0.0,0.0,2.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0
2007-01-25,-0.5157507854025405,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0,1.0
2007-01-26,24.892799202233743,0.0,1.0,3.0,0.0,0.0,4.0,5.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0
2007-01-27,0.6,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2007-01-28,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2007-01-29,0.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2007-01-30,6.784562841530054,0.0,2.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0
2007-01-31,-0.28552142184740803,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0
2007-02-01,-3.9291481646393134,0.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0
2007-02-02,7.585190242559841,0.0,1.0,0.0,0.0,0.0,8.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
2007-02-03,1.9551020408163267,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-02-05,13.626955320264026,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
2007-02-06,5.960130010834236,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
2007-02-07,-3.7414114032709844,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0
2007-02-08,5.219206790267586,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0
2007-02-09,40.916268540202964,0.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
2007-02-10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2007-02-12,13.553191489361701,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2007-02-13,4.069681673454996,0.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0
